15:53:45.053727 s140.233.174.58.60363 d151.101.117.67.443   93      
15:53:45.066564 s151.101.117.67.443   d140.233.174.58.60363 0       
15:53:45.066931 s151.101.117.67.443   d140.233.174.58.60363 51      
15:53:45.066968 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.067476 s140.233.174.58.60363 d151.101.117.67.443   53      
15:53:45.067506 s140.233.174.58.60363 d151.101.117.67.443   56      
15:53:45.067525 s140.233.174.58.60363 d151.101.117.67.443   42      
15:53:45.067581 s140.233.174.58.60363 d151.101.117.67.443   67      
15:53:45.080431 s151.101.117.67.443   d140.233.174.58.60363 0       
15:53:45.080820 s151.101.117.67.443   d140.233.174.58.60363 57      
15:53:45.080821 s151.101.117.67.443   d140.233.174.58.60363 0       
15:53:45.080822 s151.101.117.67.443   d140.233.174.58.60363 38      
15:53:45.080857 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.080883 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.080984 s140.233.174.58.60363 d151.101.117.67.443   38      
15:53:45.081148 s151.101.117.67.443   d140.233.174.58.60363 0       
15:53:45.082179 s151.101.117.67.443   d140.233.174.58.60363 0       
15:53:45.084401 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.084451 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.084848 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.084849 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.084887 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.085129 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.085734 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.085736 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.085812 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.085935 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.086318 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.086319 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.086345 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.086429 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.087020 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.087058 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.087675 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.087713 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.088414 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.088416 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.088470 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.088632 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.088948 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.088949 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.088992 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.089089 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.089682 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.089684 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.089728 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.089840 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.090508 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.090510 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.090559 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.090684 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.091432 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.091443 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.091544 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.091766 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.092174 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.092176 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.092230 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.092532 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.092534 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.092564 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.093054 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.093278 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.093380 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.093979 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.094491 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.094493 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.094538 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.094647 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.094996 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.094997 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.095033 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.095130 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.095861 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.095863 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.095915 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.096032 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.096351 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.096460 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.097013 s151.101.117.67.443   d140.233.174.58.60363 0       
15:53:45.097752 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.097753 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.097755 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.097755 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.097804 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.097996 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.098412 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.098514 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.098813 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.098815 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.098851 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.099327 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.099548 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.100052 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.100053 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.100054 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.100095 s140.233.174.58.60363 d151.101.117.67.443   0       
